listing_id,title,title_url,price,dates,age,usage,condition
9909235,Leadership Books for DUMMIES,https://dubai.dubizzle.com/classified/books/nonfiction/businesssciencetechnology/2017/4/11/leadership-books-for-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=271,AED 100,2017-04-11,1-2 years,Light Usage,Excellent
9909232,Islamic text book,https://abudhabi.dubizzle.com/classified/books/textbooks/primary-school/2017/4/11/islamic-text-book-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=272,AED 50,2017-04-11,1-2 years,Light Usage,Excellent
9909231,Audio books,https://dubai.dubizzle.com/classified/books/audiobooks/fiction/2017/4/11/audio-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=273,AED 25,2017-04-11,Brand New,Never Used,Flawless
9909230,Encyclopedia books for sale,https://sharjah.dubizzle.com/classified/books/childrens-books/educational-books/2017/4/11/encyclopedia-books-for-sale-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=274,AED 1000,2017-04-11,1-6 months,Light Usage,Flawless
9909228,Work book for kindergarten of America,https://abudhabi.dubizzle.com/classified/books/childrens-books/educational-books/2017/4/11/work-book-for-kindergarten-of-america-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=275,AED 30,2017-04-11,0-1 month,Light Usage,Flawless
9909227,Mary Kate n Ashley books for teenagers,https://dubai.dubizzle.com/classified/books/childrens-books/fiction/2017/4/11/mary-kate-n-ashley-books-for-teenagers-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=276,AED 60,2017-04-11,2-5 years,Light Usage,Flawless
9909225,Market Leader Coursebooks,https://dubai.dubizzle.com/classified/books/nonfiction/businesssciencetechnology/2017/4/11/market-leader-coursebooks-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=277,AED 1,2017-04-11,Brand New,Never Used,Flawless
9909224,Edexcel religious studies,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/book-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=278,AED 150,2017-04-11,Brand New,Never Used,Flawless
9909223,Ihs grade 2 books for sale,https://dubai.dubizzle.com/classified/books/childrens-books/educational-books/2017/4/11/ihs-grade-2-books-for-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=279,AED 150,2017-04-11,6-12 months,Normal Usage,Excellent
9909221,Assorted pocket books,https://dubai.dubizzle.com/classified/books/nonfiction/other/2017/4/11/assorted-pocket-books-2-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=280,AED 70,2017-04-11,2-5 years,Normal Usage,Average
9909220,Assorted pocket books,https://dubai.dubizzle.com/classified/books/nonfiction/other/2017/4/11/assorted-pocket-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=281,AED 70,2017-04-11,2-5 years,Normal Usage,Average
9909219,IB Mathematical Studies Oxford Course Compani...,https://dubai.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/11/ib-mathematical-studies-oxford-course-comp-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=282,AED 200,2017-04-11,1-2 years,Used Once,Excellent
9909218,GRADE 10 BOOKS FOR SALE,https://dubai.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/11/grade-10-books-for-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=283,AED 100,2017-04-11,Brand New,Used Once,Flawless
9909217,Organic + Gluten Free Cook Books,https://dubai.dubizzle.com/classified/books/nonfiction/cook-books/2017/4/11/organic-gluten-free-cook-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=284,AED 50,2017-04-11,2-5 years,Used Once,Excellent
9909216,Oswaal Question Bank for Physics Grade 12,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/oswaal-question-bank-for-physics-grade-12-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTE%3D&pos=285,AED 15,2017-04-11,6-12 months,Light Usage,Flawless
9909214,Oswaal Question Bank for Chemistry Grade 12,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/oswaal-question-bank-for-chemistry-grade-1-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=288,AED 15,2017-04-11,6-12 months,Light Usage,Flawless
9909213,Treasure Island by Robert Louis Stevenson,https://dubai.dubizzle.com/classified/books/fiction/actionadventure/2017/4/11/treasure-island-by-robert-louis-stevenson-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=289,AED 30,2017-04-11,2-5 years,Used Once,Flawless
9909212,Oswaal Question Bank for Biology Grade 12,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/oswaal-question-bank-for-biology-grade-12-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=290,AED 15,2017-04-11,6-12 months,Light Usage,Flawless
9909211,GRADE 11 COMMERCE BOOKS REQUIRED,https://dubai.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/11/grade-11-commerce-books-required-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=291,AED 10,2017-04-11,1-2 years,Light Usage,Excellent
9909210,A Midsummer Night's Dream + Macbeth,https://dubai.dubizzle.com/classified/books/fiction/classics/2017/4/11/a-midsummer-night-s-dream-macbeth-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=292,AED 50,2017-04-11,2-5 years,Light Usage,Average
9909209,'Together with' Biology Grade 11,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/-together-with-biology-grade-11-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=293,AED 20,2017-04-11,1-2 years,Light Usage,Excellent
9909208,Modern's ABC Chemistry Grade XI,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/modern-s-abc-chemistry-grade-xi-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=294,AED 15,2017-04-11,2-5 years,Normal Usage,Good
9909207,Modern's ABC Physics Grade XI,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/11/modern-s-abc-physics-grade-xi-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MTI%3D&pos=295,AED 15,2017-04-11,2-5 years,Normal Usage,Good
